Severity	Code	Description	Project	File	Line	Suppression State	Details
Error	LNK2001	unresolved external symbol "bool __cdecl SK_File_CanUserWriteToPath(wchar_t const *)" (?SK_File_CanUserWriteToPath@@YA_NPB_W@Z)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\core.obj	1		
Error	LNK2001	unresolved external symbol "bool __cdecl SK_HDR_ConvertImageToPNG(struct DirectX::Image const &,class DirectX::ScratchImage &)" (?SK_HDR_ConvertImageToPNG@@YA_NABUImage@DirectX@@AAVScratchImage@2@@Z)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\d3d11_screenshot.obj	1		
Error	LNK2001	unresolved external symbol "bool __cdecl SK_HDR_SavePNGToDisk(wchar_t const *,struct DirectX::Image const *,struct DirectX::Image const *,char const *)" (?SK_HDR_SavePNGToDisk@@YA_NPB_WPBUImage@DirectX@@1PBD@Z)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\d3d11_screenshot.obj	1		
Error	LNK2001	unresolved external symbol "bool __cdecl SK_Input_PreHookWinMM(void)" (?SK_Input_PreHookWinMM@@YA_NXZ)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\input.obj	1		
Error	LNK2001	unresolved external symbol "bool __cdecl SK_IsModuleLoaded(wchar_t const *)" (?SK_IsModuleLoaded@@YA_NPB_W@Z)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\load_library.obj	1		
Error	LNK2001	unresolved external symbol "bool __cdecl SK_NGX_IsUsingDLSS(void)" (?SK_NGX_IsUsingDLSS@@YA_NXZ)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\text.obj	1		
Error	LNK2001	unresolved external symbol "bool __cdecl SK_NGX_IsUsingDLSS_G(void)" (?SK_NGX_IsUsingDLSS_G@@YA_NXZ)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\control_panel.obj	1		
Error	LNK2001	unresolved external symbol "bool __cdecl SK_PlatformOverlay_GoToURL(char const *,bool)" (?SK_PlatformOverlay_GoToURL@@YA_NPBD_N@Z)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\control_panel.obj	1		
Error	LNK2001	unresolved external symbol "bool __cdecl SK_Platform_GetOverlayState(bool)" (?SK_Platform_GetOverlayState@@YA_N_N@Z)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\cfg_epic.obj	1		
Error	LNK2001	unresolved external symbol "bool __cdecl SK_Platform_IsOverlayAware(void)" (?SK_Platform_IsOverlayAware@@YA_NXZ)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\cfg_epic.obj	1		
Error	LNK2001	unresolved external symbol "bool __cdecl SK_Platform_SetOverlayState(bool)" (?SK_Platform_SetOverlayState@@YA_N_N@Z)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\cfg_epic.obj	1		
Error	LNK2001	unresolved external symbol "bool __cdecl SK_PNG_CopyToClipboard(struct DirectX::Image const &,void const *,unsigned int)" (?SK_PNG_CopyToClipboard@@YA_NABUImage@DirectX@@PBXI@Z)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\d3d11_screenshot.obj	1		
Error	LNK2001	unresolved external symbol "bool __cdecl SK_Power_InitEffectiveModeCallbacks(void)" (?SK_Power_InitEffectiveModeCallbacks@@YA_NXZ)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\core.obj	1		
Error	LNK2001	unresolved external symbol "bool __cdecl SK_Power_StopEffectiveModeCallbacks(void)" (?SK_Power_StopEffectiveModeCallbacks@@YA_NXZ)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\core.obj	1		
Error	LNK2001	unresolved external symbol "bool __cdecl SK_Screenshot_IsCapturingHUDless(void)" (?SK_Screenshot_IsCapturingHUDless@@YA_NXZ)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\d3d11_screenshot.obj	1		
Error	LNK2001	unresolved external symbol "bool __cdecl SK_Screenshot_SaveAVIF(class DirectX::ScratchImage &,wchar_t const *,unsigned short,unsigned short)" (?SK_Screenshot_SaveAVIF@@YA_NAAVScratchImage@DirectX@@PB_WGG@Z)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\d3d11_screenshot.obj	1		
Error	LNK2001	unresolved external symbol "bool __cdecl SK_Screenshot_SaveJXL(class DirectX::ScratchImage &,wchar_t const *)" (?SK_Screenshot_SaveJXL@@YA_NAAVScratchImage@DirectX@@PB_W@Z)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\d3d11_screenshot.obj	1		
Error	LNK2001	unresolved external symbol "bool __cdecl SK_Steam_LoadOverlayEarly(void)" (?SK_Steam_LoadOverlayEarly@@YA_NXZ)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\core.obj	1		
Error	LNK2001	unresolved external symbol "bool __cdecl SK_Steam_TestImports(struct HINSTANCE__ *)" (?SK_Steam_TestImports@@YA_NPAUHINSTANCE__@@@Z)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\core.obj	1		
Error	LNK2001	unresolved external symbol "bool __cdecl SK_WASAPI_IsProcessUsingSpatialAudio(void)" (?SK_WASAPI_IsProcessUsingSpatialAudio@@YA_NXZ)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\cfg_sound.obj	1		
Error	LNK2001	unresolved external symbol "bool __cdecl SK_WR0_Init(void)" (?SK_WR0_Init@@YA_NXZ)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\utility.obj	1		
Error	LNK2001	unresolved external symbol "bool __cdecl SK_XInput_Enable(int)" (?SK_XInput_Enable@@YA_NH@Z)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\window.obj	1		
Error	LNK2001	unresolved external symbol "bool __cdecl SK_XInput_Holding(unsigned long)" (?SK_XInput_Holding@@YA_NK@Z)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\cfg_input.obj	1		
Error	LNK2001	unresolved external symbol "bool __remap_textures" (?__remap_textures@@3_NA)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\cfg_d3d9.obj	1		
Error	LNK2001	unresolved external symbol "bool __SK_DoubleUpOnReflex" (?__SK_DoubleUpOnReflex@@3_NA)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\framerate.obj	1		
Error	LNK2001	unresolved external symbol "bool __SK_ForceDLSSGPacing" (?__SK_ForceDLSSGPacing@@3_NA)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\control_panel.obj	1		
Error	LNK2001	unresolved external symbol "bool __SK_HDR_10BitSwap" (?__SK_HDR_10BitSwap@@3_NA)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\imgui_d3d12.obj	1		
Error	LNK2001	unresolved external symbol "bool __SK_HDR_16BitSwap" (?__SK_HDR_16BitSwap@@3_NA)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\imgui_d3d12.obj	1		
Error	LNK2001	unresolved external symbol "bool __SK_HDR_AdaptiveToneMap" (?__SK_HDR_AdaptiveToneMap@@3_NA)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\d3d11_hdr.obj	1		
Error	LNK2001	unresolved external symbol "bool __SK_HDR_Disallow16BitSwap" (?__SK_HDR_Disallow16BitSwap@@3_NA)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\dxgi.obj	1		
Error	LNK2001	unresolved external symbol "bool __SK_HDR_TonemapOverbright" (?__SK_HDR_TonemapOverbright@@3_NA)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\imgui_d3d12.obj	1		
Error	LNK2001	unresolved external symbol "bool __SK_HDR_UserForced" (?__SK_HDR_UserForced@@3_NA)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\control_panel.obj	1		
Error	LNK2001	unresolved external symbol "bool __stdcall SK::SteamAPI::TakeScreenshot(enum SK_ScreenshotStage,bool,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >)" (?TakeScreenshot@SteamAPI@SK@@YG_NW4SK_ScreenshotStage@@_NV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\d3d11_screenshot.obj	1		
Error	LNK2001	unresolved external symbol "bool __stdcall SK_IsSteamOverlayActive(void)" (?SK_IsSteamOverlayActive@@YG_NXZ)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\cursor.obj	1		
Error	LNK2001	unresolved external symbol "bool __stdcall SK_SteamAPI_FriendStatsFinished(void)" (?SK_SteamAPI_FriendStatsFinished@@YG_NXZ)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\cfg_steam.obj	1		
Error	LNK2001	unresolved external symbol "bool __stdcall SK_WASAPI_Init(void)" (?SK_WASAPI_Init@@YG_NXZ)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\core.obj	1		
Error	LNK2001	unresolved external symbol "bool __stdcall SK_Xbox_GetOverlayState(bool)" (?SK_Xbox_GetOverlayState@@YG_N_N@Z)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\input.obj	1		
Error	LNK2001	unresolved external symbol "bool __stdcall SK_XInput_PulseController(int,float,float)" (?SK_XInput_PulseController@@YG_NHMM@Z)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\d3d11.obj	1		
Error	LNK2001	unresolved external symbol "bool __stdcall SK_XInput_WasLastPollSuccessful(int)" (?SK_XInput_WasLastPollSuccessful@@YG_NH@Z)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\cfg_input.obj	1		
Error	LNK2001	unresolved external symbol "char * (__stdcall* GetCommandLineA_Original)(void)" (?GetCommandLineA_Original@@3P6GPADXZA)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\hooks.obj	1		
Error	LNK2001	unresolved external symbol "char const * __cdecl SK_NGX_DLSS_GetCurrentPerfQualityStr(void)" (?SK_NGX_DLSS_GetCurrentPerfQualityStr@@YAPBDXZ)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\text.obj	1		
Error	LNK2001	unresolved external symbol "char const * __cdecl SK_NGX_DLSS_GetCurrentPresetStr(void)" (?SK_NGX_DLSS_GetCurrentPresetStr@@YAPBDXZ)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\text.obj	1		
Error	LNK2001	unresolved external symbol "char const * __cdecl SK_Power_GetEffectiveModeStr(enum EFFECTIVE_POWER_MODE)" (?SK_Power_GetEffectiveModeStr@@YAPBDW4EFFECTIVE_POWER_MODE@@@Z)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\control_panel.obj	1		
Error	LNK2001	unresolved external symbol "char const * __cdecl SK_XInput_GetPrimaryHookName(void)" (?SK_XInput_GetPrimaryHookName@@YAPBDXZ)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\cfg_input.obj	1		
Error	LNK2001	unresolved external symbol "char const * __stdcall SK_WASAPI_GetChannelName(int)" (?SK_WASAPI_GetChannelName@@YGPBDH@Z)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\cfg_sound.obj	1		
Error	LNK2001	unresolved external symbol "class Concurrency::concurrent_vector<struct SK_HID_PlayStationDevice,class std::allocator<struct SK_HID_PlayStationDevice> > SK_HID_PlayStationControllers" (?SK_HID_PlayStationControllers@@3V?$concurrent_vector@USK_HID_PlayStationDevice@@V?$allocator@USK_HID_PlayStationDevice@@@std@@@Concurrency@@A)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\cfg_input.obj	1		
Error	LNK2001	unresolved external symbol "class CSteamID __cdecl SK::SteamAPI::UserSteamID(void)" (?UserSteamID@SteamAPI@SK@@YA?AVCSteamID@@XZ)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\control_panel.obj	1		
Error	LNK2001	unresolved external symbol "class galaxy::api::GalaxyID __cdecl SK::Galaxy::UserID(void)" (?UserID@Galaxy@SK@@YA?AVGalaxyID@api@galaxy@@XZ)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\control_panel.obj	1		
Error	LNK2001	unresolved external symbol "class ISteamFriends * __cdecl SK_SteamAPI_Friends(void)" (?SK_SteamAPI_Friends@@YAPAVISteamFriends@@XZ)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\control_panel.obj	1		
Error	LNK2001	unresolved external symbol "class ISteamMusic * __cdecl SK_SteamAPI_Music(void)" (?SK_SteamAPI_Music@@YAPAVISteamMusic@@XZ)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\cfg_sound.obj	1		
Error	LNK2001	unresolved external symbol "class SK::D3D9::TextureManager & __cdecl SK_D3D9_GetTextureManager(void)" (?SK_D3D9_GetTextureManager@@YAAAVTextureManager@D3D9@SK@@XZ)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\cfg_d3d9.obj	1		
Error	LNK2001	unresolved external symbol "class SK_AchievementManager * __cdecl SK_Platform_GetAchievementManager(void)" (?SK_Platform_GetAchievementManager@@YAPAVSK_AchievementManager@@XZ)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\cfg_platform.obj	1		
Error	LNK2001	unresolved external symbol "class SK_LazyGlobal<class SK_ImGui_FrameHistory> SK_ImGui_Frames" (?SK_ImGui_Frames@@3V?$SK_LazyGlobal@VSK_ImGui_FrameHistory@@@@A)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\framerate.obj	1		
Error	LNK2001	unresolved external symbol "class SK_LazyGlobal<class SK_SteamAPIContext> pSteamCtx" (?pSteamCtx@@3V?$SK_LazyGlobal@VSK_SteamAPIContext@@@@A)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\cfg_platform.obj	1		
